Nodo,CODIGO COMPLETO,Poblacion total,Poblacion de 0 a 14 anos,Poblacion de 60 anos y mas,Poblacion femenina de 15 a 49 anos,Poblacion con discapacidad,Poblacion no vulnerable,Columna1,Longitud,Latitud,Demanda
28,1903600010101050,7,0,0,0,0,7,"-100.119232427754213, 23.428410050051617",-100.119232427754,23.4284100500516,2
29,1903600010101051,0,0,0,0,0,0,"-100.113159906543558, 23.426244280830282",-100.113159906543,23.4262442808302,0
30,1903600010101053,8,0,0,3,0,5,"-100.120691549457348, 23.427976899044701",-100.120691549457,23.4279768990447,2
31,1903600010101054,0,0,0,0,0,0,"-100.119447004472335, 23.427642190477563",-100.119447004472,23.4276421904775,0
32,1903600010101056,0,0,0,0,0,0,"-100.121654526320043, 23.427190737260961",-100.12165452632,23.4271907372609,0
33,1903600010101057,21,9,0,4,0,8,"-100.120219480670244, 23.428449427344930",-100.12021948067,23.4284494273449,5
35,1903600010116001,5,0,0,0,0,5,"-100.121536828207084, 23.426210776631361",-100.121536828207,23.4262107766313,1
36,1903600010116002,11,3,5,0,0,3,"-100.120635605974712, 23.426072953718514",-100.120635605974,23.4260729537185,3
37,1903600010116003,0,0,0,0,0,0,"-100.118974935694226, 23.429945755822096",-100.118974935694,23.429945755822,0
38,1903600010116004,5,0,0,0,0,5,"-100.121657782865640, 23.425426310672584",-100.121657782865,23.4254263106725,1
39,1903600010116005,0,0,0,0,0,0,"-100.120713645300427, 23.425229419585030",-100.1207136453,23.425229419585,0
40,1903600010116006,8,0,0,5,0,3,"-100.122693243180635, 23.424853181735262",-100.12269324318,23.4248531817352,2
41,1903600010116007,3,0,0,0,0,3,"-100.121792020957244, 23.424636600583611",-100.121792020957,23.4246366005836,1
42,1903600010116008,4,0,0,0,0,4,"-100.120804968032203, 23.424360951333071",-100.120804968032,23.424360951333,1
43,1903600010116009,18,3,5,4,0,6,"-100.122779520596495, 23.423928897174658",-100.122779520596,23.4239288971746,4
44,1903600010116010,8,0,6,0,0,2,"-100.121921213714927, 23.423672935805378",-100.121921213714,23.4236729358053,2
45,1903600010116011,12,0,0,0,0,12,"-100.120998533811616, 23.423515420869936",-100.120998533811,23.4235154208699,3
46,1903600010116012,17,4,3,4,0,6,"-100.122951181972795, 23.423042874938812",-100.122951181972,23.4230428749388,4
47,1903600010116013,6,0,0,0,0,6,"-100.122071417411348, 23.422786911854754",-100.122071417411,23.4227869118547,2
48,1903600010116014,18,0,9,3,0,6,"-100.121148737517018, 23.422629395864057",-100.121148737517,23.422629395864,4
49,1903600010116015,0,0,0,0,0,0,"-100.123079928007272, 23.422176536346360",-100.123079928007,23.4221765363463,0
50,1903600010116016,8,0,0,3,0,5,"-100.122178705774914, 23.422019019629570",-100.122178705774,23.4220190196295,2
51,1903600010116017,19,4,4,7,3,1,"-100.121234568200705, 23.421841813098318",-100.1212345682,23.4218418130983,4
52,1903600010116018,0,0,0,0,0,0,"-100.123165758690945, 23.421290502371136",-100.12316575869,23.4212905023711,0
